"English Grammar Point","Common Korean Name (Grammar Point)","Grade Level"
"Present simple tense","현재 시제(hyeonjae sije)","Middle School 1st Year"
"Present continuous tense","현재 진행형(hyeonjae jinhaenghyeong)","Middle School 1st Year"
"Past simple tense","과거 시제(gwageo sije)","Middle School 1st Year"
"Articles (a, an, the)","관사(gwansa)","Middle School 1st Year"
"Modal verbs (can, could, will)","조동사(jodongsa)","Middle School 2nd Year"
"Past continuous tense","과거 진행형(gwageo jinhaenghyeong)","Middle School 2nd Year"
"Present perfect simple","현재 완료 시제(hyeonjae wallyo sije)","Middle School 2nd Year"
"Comparatives and superlatives","비교급 / 최상급(bigogyup / choesanggeup)","Middle School 2nd Year"
"Passive voice","수동태(sudongtae)","Middle School 3rd Year"
"Conditionals (type 0 and 1)","조건문(jogeonmun)","Middle School 3rd Year"
"Reported speech","간접화법(ganjeophwabeop)","Middle School 3rd Year"
"Relative clauses","관계절(gwangyejeol)","Middle School 3rd Year"
"Gerunds and infinitives","동명사와 부정사(dongmyeongsa wa bujeongsa)","Middle School 3rd Year"
"Conditionals (type 2 and 3)","가정법 과거/과거완료(gajeongbeop gwageo / gwageo wallyo)","High School 1st Year"
"Advanced modals (might, would, should)","고급 조동사(gogeup jodongsa)","High School 1st Year"
"Complex sentence connectors","복합 접속사(bokhap jeobsoksa)","High School 1st Year"
"Noun clauses","명사절(myeongsajeol)","High School 1st Year"
"Emphatic structures","강조구문(gangjo gumun)","High School 1st Year"
"Inversion and fronting","도치와 전치(dochi wa jeonchi)","High School 2nd Year"
"Subjunctive mood","가정법 (접속법)(gajeongbeop (jeobsokbeop))","High School 2nd Year"
"Advanced relative clauses","고급 관계절(gogeup gwangyejeol)","High School 2nd Year"
"Nominalization","명사화(myeongsahwa)","High School 2nd Year"
"Ellipsis and substitution","생략과 대용(saengnyak gwa daeyong)","High School 2nd Year"
"Advanced tense and aspect combinations","복합 시제와 상(bokhap sije wa sang)","High School 3rd Year"
"Advanced passive and causative forms","고급 수동태와 사동태(gogeup sudongtae wa sadongtae)","High School 3rd Year"
"Stylistic grammar for persuasion and argumentation","설득 및 논증 문법(seoldeuk mit nonjeung munbeop)","High School 3rd Year"
